Unnamed: 0;genre;track_id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;uri;track_href;analysis_url;duration_ms;time_signature
0;acoustic;0IktbUcnAGrvD03AWnz3Q8;0.625;0.414;0;-8.7;1;0.0369;0.294;0;0.151;0.669;130.088;audio_features;0IktbUcnAGrvD03AWnz3Q8;spotify:track:0IktbUcnAGrvD03AWnz3Q8;https://api.spotify.com/v1/tracks/0IktbUcnAGrvD03AWnz3Q8;https://api.spotify.com/v1/audio-analysis/0IktbUcnAGrvD03AWnz3Q8;189613;4
1;acoustic;3cnRYoW4nYzIuVPCp7k5iG;0.773;0.394;0;-9.252;1;0.0516;0.627;1.36E-05;0.0953;0.443;74.977;audio_features;3cnRYoW4nYzIuVPCp7k5iG;spotify:track:3cnRYoW4nYzIuVPCp7k5iG;https://api.spotify.com/v1/tracks/3cnRYoW4nYzIuVPCp7k5iG;https://api.spotify.com/v1/audio-analysis/3cnRYoW4nYzIuVPCp7k5iG;212707;4
2;acoustic;3U9FMzSjrXFS0AnElgcw0j;0.348;0.564;2;-4.412;1;0.0306;0.497;2.54E-06;0.114;0.174;83.853;audio_features;3U9FMzSjrXFS0AnElgcw0j;spotify:track:3U9FMzSjrXFS0AnElgcw0j;https://api.spotify.com/v1/tracks/3U9FMzSjrXFS0AnElgcw0j;https://api.spotify.com/v1/audio-analysis/3U9FMzSjrXFS0AnElgcw0j;231853;4
3;acoustic;5jclmAX2XQp5G3b6K30UJl;0.387;0.352;8;-6.864;1;0.027;0.859;0;0.135;0.137;86.168;audio_features;5jclmAX2XQp5G3b6K30UJl;spotify:track:5jclmAX2XQp5G3b6K30UJl;https://api.spotify.com/v1/tracks/5jclmAX2XQp5G3b6K30UJl;https://api.spotify.com/v1/audio-analysis/5jclmAX2XQp5G3b6K30UJl;181029;4
4;acoustic;7jPumBvn7m7l3nolkML3cZ;0.568;0.248;10;-11.544;1;0.0352;0.91;0;0.0732;0.232;83.012;audio_features;7jPumBvn7m7l3nolkML3cZ;spotify:track:7jPumBvn7m7l3nolkML3cZ;https://api.spotify.com/v1/tracks/7jPumBvn7m7l3nolkML3cZ;https://api.spotify.com/v1/audio-analysis/7jPumBvn7m7l3nolkML3cZ;249933;4
5;acoustic;51jy98I9q9Nk1xyA0W4ZBg;0.548;0.217;7;-10.308;1;0.0266;0.722;2.15E-05;0.0788;0.325;87.01;audio_features;51jy98I9q9Nk1xyA0W4ZBg;spotify:track:51jy98I9q9Nk1xyA0W4ZBg;https://api.spotify.com/v1/tracks/51jy98I9q9Nk1xyA0W4ZBg;https://api.spotify.com/v1/audio-analysis/51jy98I9q9Nk1xyA0W4ZBg;225947;4
6;acoustic;3OGcceoTcTwRQjJmh1K5jF;0.41;0.729;11;-4.464;1;0.0524;0.246;0;0.962;0.461;143.566;audio_features;3OGcceoTcTwRQjJmh1K5jF;spotify:track:3OGcceoTcTwRQjJmh1K5jF;https://api.spotify.com/v1/tracks/3OGcceoTcTwRQjJmh1K5jF;https://api.spotify.com/v1/audio-analysis/3OGcceoTcTwRQjJmh1K5jF;312800;4
7;acoustic;3LHg768dEKqJKht2uPTlVR;0.463;0.368;9;-11.546;1;0.048;0.376;0;0.149;0.75;141.974;audio_features;3LHg768dEKqJKht2uPTlVR;spotify:track:3LHg768dEKqJKht2uPTlVR;https://api.spotify.com/v1/tracks/3LHg768dEKqJKht2uPTlVR;https://api.spotify.com/v1/audio-analysis/3LHg768dEKqJKht2uPTlVR;179960;4
8;acoustic;2bkobNV1AyahJ2sbGriUyW;0.438;0.109;9;-14.196;1;0.031;0.976;0.000138;0.109;0.236;80.214;audio_features;2bkobNV1AyahJ2sbGriUyW;spotify:track:2bkobNV1AyahJ2sbGriUyW;https://api.spotify.com/v1/tracks/2bkobNV1AyahJ2sbGriUyW;https://api.spotify.com/v1/audio-analysis/2bkobNV1AyahJ2sbGriUyW;252773;4
9;acoustic;7nnWIPM5hwE3DaUBkvOIpy;0.645;0.792;4;-7.34;0;0.036;0.0562;0.0121;0.119;0.666;90.565;audio_features;7nnWIPM5hwE3DaUBkvOIpy;spotify:track:7nnWIPM5hwE3DaUBkvOIpy;https://api.spotify.com/v1/tracks/7nnWIPM5hwE3DaUBkvOIpy;https://api.spotify.com/v1/audio-analysis/7nnWIPM5hwE3DaUBkvOIpy;232453;4
10;acoustic;2voFmcVmg8HJIjKtVrdXjj;0.595;0.127;1;-9.385;1;0.0329;0.813;0;0.0913;0.0948;140.986;audio_features;2voFmcVmg8HJIjKtVrdXjj;spotify:track:2voFmcVmg8HJIjKtVrdXjj;https://api.spotify.com/v1/tracks/2voFmcVmg8HJIjKtVrdXjj;https://api.spotify.com/v1/audio-analysis/2voFmcVmg8HJIjKtVrdXjj;227160;3
